"time, indoor_temperature","time, indoor_humidity"
"2021-03-21T02:00:00.000+01:00,""25.2""","2021-03-17T20:30:24.998+01:00,""40"""
"2021-03-21T03:00:00.000+01:00,""25.2""","2021-03-17T20:58:24.831+01:00,""40"""
"2021-03-21T04:00:00.000+01:00,""25.2""","2021-03-17T21:26:24.664+01:00,""40"""
"2021-03-21T05:00:00.000+01:00,""25.2""","2021-03-17T21:54:24.497+01:00,""40"""
"2021-03-21T06:00:00.000+01:00,""25.2""","2021-03-17T22:22:24.330+01:00,""40"""
"2021-03-21T07:00:00.000+01:00,""25.2""","2021-03-17T22:50:24.163+01:00,""40"""
"2021-03-21T08:00:00.000+01:00,""25.2""","2021-03-17T23:18:23.996+01:00,""40"""
"2021-03-21T09:00:00.000+01:00,""25.2""","2021-03-17T23:46:23.829+01:00,""40"""
"2021-03-21T10:00:00.000+01:00,""25.2""","2021-03-18T00:14:23.662+01:00,""40"""
"2021-03-21T11:00:00.000+01:00,""25.2""","2021-03-18T00:42:23.495+01:00,""40"""
"2021-03-21T12:00:00.000+01:00,""24.3""","2021-03-18T01:10:23.328+01:00,""40"""
"2021-03-21T13:00:00.000+01:00,""24.3""","2021-03-18T01:38:23.161+01:00,""40"""
"2021-03-21T14:00:00.000+01:00,""24.3""","2021-03-18T02:06:22.994+01:00,""40"""
"2021-03-21T15:00:00.000+01:00,""25.2""","2021-03-18T02:34:22.827+01:00,""40"""
"2021-03-21T16:00:00.000+01:00,""25.2""","2021-03-18T03:02:22.660+01:00,""40"""
"2021-03-21T17:00:00.000+01:00,""25.2""","2021-03-18T03:30:22.493+01:00,""40"""
"2021-03-21T18:00:00.000+01:00,""25.2""","2021-03-18T03:58:22.326+01:00,""40"""
"2021-03-21T19:00:00.000+01:00,""25.2""","2021-03-18T04:26:22.159+01:00,""40"""
"2021-03-21T20:00:00.000+01:00,""25.2""","2021-03-18T04:54:21.992+01:00,""40"""
"2021-03-21T21:00:00.000+01:00,""25.2""","2021-03-18T05:22:21.825+01:00,""40"""
"2021-03-21T22:00:00.000+01:00,""25.2""","2021-03-18T05:50:21.658+01:00,""40"""
"2021-03-21T23:00:00.000+01:00,""25.2""","2021-03-18T06:18:21.491+01:00,""40"""
